Report #2 for 10000 inserts.
Iteration #0. Elapsed time 0seconds.
Iteration #1. Elapsed time 0seconds.
Iteration #2. Elapsed time 0seconds.
Iteration #3. Elapsed time 0seconds.
Iteration #4. Elapsed time 0seconds.
Iteration #5. Elapsed time 0seconds.
Iteration #6. Elapsed time 0seconds.
Iteration #7. Elapsed time 0seconds.
Iteration #8. Elapsed time 0seconds.
Iteration #9. Elapsed time 0seconds.
Iteration #10. Elapsed time 0seconds.
Iteration #11. Elapsed time 0seconds.
Iteration #12. Elapsed time 0seconds.
Iteration #13. Elapsed time 0seconds.
Iteration #14. Elapsed time 0seconds.
Iteration #15. Elapsed time 0seconds.
Iteration #16. Elapsed time 0seconds.
Iteration #17. Elapsed time 0seconds.
Iteration #18. Elapsed time 0seconds.
Iteration #19. Elapsed time 0seconds.
Iteration #20. Elapsed time 0seconds.
Iteration #21. Elapsed time 0seconds.
Iteration #22. Elapsed time 0seconds.
Iteration #23. Elapsed time 0seconds.
Iteration #24. Elapsed time 0seconds.
Iteration #25. Elapsed time 0seconds.
Iteration #26. Elapsed time 0seconds.
Iteration #27. Elapsed time 0seconds.
Iteration #28. Elapsed time 0seconds.
Iteration #29. Elapsed time 0seconds.
Iteration #30. Elapsed time 0seconds.
Iteration #31. Elapsed time 0seconds.
Iteration #32. Elapsed time 0seconds.
Iteration #33. Elapsed time 0seconds.
Iteration #34. Elapsed time 0seconds.
Iteration #35. Elapsed time 0seconds.
Iteration #36. Elapsed time 0seconds.
Iteration #37. Elapsed time 0seconds.
Iteration #38. Elapsed time 0seconds.
Iteration #39. Elapsed time 0seconds.
Iteration #40. Elapsed time 0seconds.
Iteration #41. Elapsed time 0seconds.
Iteration #42. Elapsed time 0seconds.
Iteration #43. Elapsed time 0seconds.
Iteration #44. Elapsed time 0seconds.
Iteration #45. Elapsed time 0seconds.
Iteration #46. Elapsed time 0seconds.
Iteration #47. Elapsed time 0seconds.
Iteration #48. Elapsed time 0seconds.
Iteration #49. Elapsed time 0seconds.
Iteration #50. Elapsed time 0seconds.
Iteration #51. Elapsed time 0seconds.
Iteration #52. Elapsed time 0seconds.
Iteration #53. Elapsed time 0seconds.
Iteration #54. Elapsed time 0seconds.
Iteration #55. Elapsed time 0seconds.
Iteration #56. Elapsed time 0seconds.
Iteration #57. Elapsed time 0seconds.
Iteration #58. Elapsed time 0seconds.
Iteration #59. Elapsed time 0seconds.
Iteration #60. Elapsed time 0seconds.
Iteration #61. Elapsed time 0seconds.
Iteration #62. Elapsed time 0seconds.
Iteration #63. Elapsed time 0seconds.
Iteration #64. Elapsed time 0seconds.
Iteration #65. Elapsed time 0seconds.
Iteration #66. Elapsed time 0seconds.
Iteration #67. Elapsed time 0seconds.
Iteration #68. Elapsed time 0seconds.
Iteration #69. Elapsed time 0seconds.
Iteration #70. Elapsed time 0seconds.
Iteration #71. Elapsed time 0seconds.
Iteration #72. Elapsed time 0seconds.
Iteration #73. Elapsed time 0seconds.
Iteration #74. Elapsed time 0seconds.
Iteration #75. Elapsed time 0seconds.
Iteration #76. Elapsed time 0seconds.
Iteration #77. Elapsed time 0seconds.
Iteration #78. Elapsed time 0seconds.
Iteration #79. Elapsed time 0seconds.
Iteration #80. Elapsed time 0seconds.
Iteration #81. Elapsed time 0seconds.
Iteration #82. Elapsed time 0seconds.
Iteration #83. Elapsed time 0seconds.
Iteration #84. Elapsed time 0seconds.
Iteration #85. Elapsed time 0seconds.
Iteration #86. Elapsed time 0seconds.
Iteration #87. Elapsed time 0seconds.
Iteration #88. Elapsed time 0seconds.
Iteration #89. Elapsed time 0seconds.
Iteration #90. Elapsed time 0seconds.
Iteration #91. Elapsed time 0seconds.
Iteration #92. Elapsed time 0seconds.
Iteration #93. Elapsed time 0seconds.
Iteration #94. Elapsed time 0seconds.
Iteration #95. Elapsed time 0seconds.
Iteration #96. Elapsed time 0seconds.
Iteration #97. Elapsed time 0seconds.
Iteration #98. Elapsed time 0seconds.
Iteration #99. Elapsed time 0seconds.
Iteration #100. Elapsed time 0seconds.
Iteration #101. Elapsed time 0seconds.
Iteration #102. Elapsed time 0seconds.
Iteration #103. Elapsed time 0seconds.
Iteration #104. Elapsed time 0seconds.
Iteration #105. Elapsed time 0seconds.
Iteration #106. Elapsed time 0seconds.
Iteration #107. Elapsed time 0seconds.
Iteration #108. Elapsed time 0seconds.
Iteration #109. Elapsed time 0seconds.
Iteration #110. Elapsed time 0seconds.
Iteration #111. Elapsed time 0seconds.
Iteration #112. Elapsed time 0seconds.
Iteration #113. Elapsed time 0seconds.
Iteration #114. Elapsed time 0seconds.
Iteration #115. Elapsed time 0seconds.
Iteration #116. Elapsed time 0seconds.
Iteration #117. Elapsed time 0seconds.
Iteration #118. Elapsed time 0seconds.
Iteration #119. Elapsed time 0seconds.
Iteration #120. Elapsed time 0seconds.
Iteration #121. Elapsed time 0seconds.
Iteration #122. Elapsed time 0seconds.
Iteration #123. Elapsed time 0seconds.
Iteration #124. Elapsed time 0seconds.
Iteration #125. Elapsed time 0seconds.
Iteration #126. Elapsed time 0seconds.
Iteration #127. Elapsed time 0seconds.
Iteration #128. Elapsed time 0seconds.
Iteration #129. Elapsed time 0seconds.
Iteration #130. Elapsed time 0seconds.
Iteration #131. Elapsed time 0seconds.
Iteration #132. Elapsed time 0seconds.
Iteration #133. Elapsed time 0seconds.
Iteration #134. Elapsed time 0seconds.
Iteration #135. Elapsed time 0seconds.
Iteration #136. Elapsed time 0seconds.
Iteration #137. Elapsed time 0seconds.
Iteration #138. Elapsed time 0seconds.
Iteration #139. Elapsed time 0seconds.
Iteration #140. Elapsed time 0seconds.
Iteration #141. Elapsed time 0seconds.
Iteration #142. Elapsed time 0seconds.
Iteration #143. Elapsed time 0seconds.
Iteration #144. Elapsed time 0seconds.
Iteration #145. Elapsed time 0seconds.
Iteration #146. Elapsed time 0seconds.
Iteration #147. Elapsed time 0seconds.
Iteration #148. Elapsed time 0seconds.
Iteration #149. Elapsed time 0seconds.
Iteration #150. Elapsed time 0seconds.
Iteration #151. Elapsed time 0seconds.
Iteration #152. Elapsed time 0seconds.
Iteration #153. Elapsed time 0seconds.
Iteration #154. Elapsed time 0seconds.
Iteration #155. Elapsed time 0seconds.
Iteration #156. Elapsed time 0seconds.
Iteration #157. Elapsed time 0seconds.
Iteration #158. Elapsed time 0seconds.
Iteration #159. Elapsed time 0seconds.
Iteration #160. Elapsed time 0seconds.
Iteration #161. Elapsed time 0seconds.
Iteration #162. Elapsed time 0seconds.
Iteration #163. Elapsed time 0seconds.
Iteration #164. Elapsed time 0seconds.
Iteration #165. Elapsed time 0seconds.
Iteration #166. Elapsed time 0seconds.
Iteration #167. Elapsed time 0seconds.
Iteration #168. Elapsed time 0seconds.
Iteration #169. Elapsed time 0seconds.
Iteration #170. Elapsed time 0seconds.
Iteration #171. Elapsed time 0seconds.
Iteration #172. Elapsed time 0seconds.
Iteration #173. Elapsed time 0seconds.
Iteration #174. Elapsed time 0seconds.
Iteration #175. Elapsed time 0seconds.
Iteration #176. Elapsed time 0seconds.
Iteration #177. Elapsed time 0seconds.
Iteration #178. Elapsed time 0seconds.
Iteration #179. Elapsed time 0seconds.
Iteration #180. Elapsed time 0seconds.
Iteration #181. Elapsed time 0seconds.
Iteration #182. Elapsed time 0seconds.
Iteration #183. Elapsed time 0seconds.
Iteration #184. Elapsed time 0seconds.
Iteration #185. Elapsed time 0seconds.
Iteration #186. Elapsed time 0seconds.
Iteration #187. Elapsed time 0seconds.
Iteration #188. Elapsed time 0seconds.
Iteration #189. Elapsed time 0seconds.
Iteration #190. Elapsed time 0seconds.
Iteration #191. Elapsed time 0seconds.
Iteration #192. Elapsed time 0seconds.
Iteration #193. Elapsed time 0seconds.
Iteration #194. Elapsed time 0seconds.
Iteration #195. Elapsed time 0seconds.
Iteration #196. Elapsed time 0seconds.
Iteration #197. Elapsed time 0seconds.
Iteration #198. Elapsed time 0seconds.
Iteration #199. Elapsed time 0seconds.
Iteration #200. Elapsed time 0seconds.
Iteration #201. Elapsed time 0seconds.
Iteration #202. Elapsed time 0seconds.
Iteration #203. Elapsed time 0seconds.
Iteration #204. Elapsed time 0seconds.
Iteration #205. Elapsed time 0seconds.
Iteration #206. Elapsed time 0seconds.
Iteration #207. Elapsed time 0seconds.
Iteration #208. Elapsed time 0seconds.
Iteration #209. Elapsed time 0seconds.
Iteration #210. Elapsed time 0seconds.
Iteration #211. Elapsed time 0seconds.
Iteration #212. Elapsed time 0seconds.
Iteration #213. Elapsed time 0seconds.
Iteration #214. Elapsed time 0seconds.
Iteration #215. Elapsed time 0seconds.
Iteration #216. Elapsed time 0seconds.
Iteration #217. Elapsed time 0seconds.
Iteration #218. Elapsed time 0seconds.
Iteration #219. Elapsed time 0seconds.
Iteration #220. Elapsed time 0seconds.
Iteration #221. Elapsed time 0seconds.
Iteration #222. Elapsed time 0seconds.
Iteration #223. Elapsed time 0seconds.
Iteration #224. Elapsed time 0seconds.
Iteration #225. Elapsed time 0seconds.
Iteration #226. Elapsed time 0seconds.
Iteration #227. Elapsed time 0seconds.
Iteration #228. Elapsed time 0seconds.
Iteration #229. Elapsed time 0seconds.
Iteration #230. Elapsed time 0seconds.
Iteration #231. Elapsed time 0seconds.
Iteration #232. Elapsed time 0seconds.
Iteration #233. Elapsed time 0seconds.
Iteration #234. Elapsed time 0seconds.
Iteration #235. Elapsed time 0seconds.
Iteration #236. Elapsed time 0seconds.
Iteration #237. Elapsed time 0seconds.
Iteration #238. Elapsed time 0seconds.
Iteration #239. Elapsed time 0seconds.
Iteration #240. Elapsed time 0seconds.
Iteration #241. Elapsed time 0seconds.
Iteration #242. Elapsed time 0seconds.
Iteration #243. Elapsed time 0seconds.
Iteration #244. Elapsed time 0seconds.
Iteration #245. Elapsed time 0seconds.
Iteration #246. Elapsed time 0seconds.
Iteration #247. Elapsed time 0seconds.
Iteration #248. Elapsed time 0seconds.
Iteration #249. Elapsed time 0seconds.
Iteration #250. Elapsed time 0seconds.
Iteration #251. Elapsed time 0seconds.
Iteration #252. Elapsed time 0seconds.
Iteration #253. Elapsed time 0seconds.
Iteration #254. Elapsed time 0seconds.
Iteration #255. Elapsed time 0seconds.
Iteration #256. Elapsed time 0seconds.
Iteration #257. Elapsed time 0seconds.
Iteration #258. Elapsed time 0seconds.
Iteration #259. Elapsed time 0seconds.
Iteration #260. Elapsed time 0seconds.
Iteration #261. Elapsed time 0seconds.
Iteration #262. Elapsed time 0seconds.
Iteration #263. Elapsed time 0seconds.
Iteration #264. Elapsed time 0seconds.
Iteration #265. Elapsed time 0seconds.
Iteration #266. Elapsed time 0seconds.
Iteration #267. Elapsed time 0seconds.
Iteration #268. Elapsed time 0seconds.
Iteration #269. Elapsed time 0seconds.
Iteration #270. Elapsed time 0seconds.
Iteration #271. Elapsed time 0seconds.
Iteration #272. Elapsed time 0seconds.
Iteration #273. Elapsed time 0seconds.
Iteration #274. Elapsed time 0seconds.
Iteration #275. Elapsed time 0seconds.
Iteration #276. Elapsed time 0seconds.
Iteration #277. Elapsed time 0seconds.
Iteration #278. Elapsed time 0seconds.
Iteration #279. Elapsed time 0seconds.
Iteration #280. Elapsed time 0seconds.
Iteration #281. Elapsed time 0seconds.
Iteration #282. Elapsed time 0seconds.
Iteration #283. Elapsed time 0seconds.
Iteration #284. Elapsed time 0seconds.
Iteration #285. Elapsed time 0seconds.
Iteration #286. Elapsed time 0seconds.
Iteration #287. Elapsed time 0seconds.
Iteration #288. Elapsed time 0seconds.
Iteration #289. Elapsed time 0seconds.
Iteration #290. Elapsed time 0seconds.
Iteration #291. Elapsed time 0seconds.
Iteration #292. Elapsed time 0seconds.
Iteration #293. Elapsed time 0seconds.
Iteration #294. Elapsed time 0seconds.
Iteration #295. Elapsed time 0seconds.
Iteration #296. Elapsed time 0seconds.
Iteration #297. Elapsed time 0seconds.
Iteration #298. Elapsed time 0seconds.
Iteration #299. Elapsed time 0seconds.
Iteration #300. Elapsed time 0seconds.
Iteration #301. Elapsed time 0seconds.
Iteration #302. Elapsed time 0seconds.
Iteration #303. Elapsed time 0seconds.
Iteration #304. Elapsed time 0seconds.
Iteration #305. Elapsed time 0seconds.
Iteration #306. Elapsed time 0seconds.
Iteration #307. Elapsed time 0seconds.
Iteration #308. Elapsed time 0seconds.
