Report #1 for 10000 inserts.
Iteration #0. Elapsed time -600seconds.
Iteration #1. Elapsed time 203seconds.
Iteration #2. Elapsed time -370seconds.
Iteration #3. Elapsed time 689seconds.
Iteration #4. Elapsed time -289seconds.
Iteration #5. Elapsed time -315seconds.
Iteration #6. Elapsed time 687seconds.
Iteration #7. Elapsed time -335seconds.
Iteration #8. Elapsed time -322seconds.
Iteration #9. Elapsed time 692seconds.
Iteration #10. Elapsed time -293seconds.
Iteration #11. Elapsed time -298seconds.
Iteration #12. Elapsed time 698seconds.
Iteration #13. Elapsed time -291seconds.
Iteration #14. Elapsed time -292seconds.
Iteration #15. Elapsed time -290seconds.
Iteration #16. Elapsed time 708seconds.
Iteration #17. Elapsed time -296seconds.
Iteration #18. Elapsed time -291seconds.
Iteration #19. Elapsed time 699seconds.
Iteration #20. Elapsed time -290seconds.
Iteration #21. Elapsed time -295seconds.
Iteration #22. Elapsed time -294seconds.
Iteration #23. Elapsed time 699seconds.
Iteration #24. Elapsed time -291seconds.
Iteration #25. Elapsed time -295seconds.
Iteration #26. Elapsed time 700seconds.
Iteration #27. Elapsed time -304seconds.
Iteration #28. Elapsed time -290seconds.
Iteration #29. Elapsed time 702seconds.
Iteration #30. Elapsed time -296seconds.
Iteration #31. Elapsed time -302seconds.
Iteration #32. Elapsed time -287seconds.
Iteration #33. Elapsed time 678seconds.
Iteration #34. Elapsed time -289seconds.
Iteration #35. Elapsed time -289seconds.
Iteration #36. Elapsed time 709seconds.
Iteration #37. Elapsed time -308seconds.
Iteration #38. Elapsed time -289seconds.
Iteration #39. Elapsed time 703seconds.
Iteration #40. Elapsed time -291seconds.
Iteration #41. Elapsed time -298seconds.
Iteration #42. Elapsed time -286seconds.
Iteration #43. Elapsed time 706seconds.
Iteration #44. Elapsed time -312seconds.
Iteration #45. Elapsed time -299seconds.
Iteration #46. Elapsed time 708seconds.
Iteration #47. Elapsed time -278seconds.
Iteration #48. Elapsed time -280seconds.
Iteration #49. Elapsed time -277seconds.
Iteration #50. Elapsed time 722seconds.
Iteration #51. Elapsed time -275seconds.
Iteration #52. Elapsed time -274seconds.
Iteration #53. Elapsed time 716seconds.
Iteration #54. Elapsed time -277seconds.
Iteration #55. Elapsed time -276seconds.
Iteration #56. Elapsed time -281seconds.
Iteration #57. Elapsed time 720seconds.
Iteration #58. Elapsed time -276seconds.
Iteration #59. Elapsed time -275seconds.
Iteration #60. Elapsed time 720seconds.
Iteration #61. Elapsed time -281seconds.
Iteration #62. Elapsed time -296seconds.
Iteration #63. Elapsed time -270seconds.
Iteration #64. Elapsed time 727seconds.
Iteration #65. Elapsed time -277seconds.
Iteration #66. Elapsed time -270seconds.
Iteration #67. Elapsed time -267seconds.
Iteration #68. Elapsed time 721seconds.
Iteration #69. Elapsed time -268seconds.
Iteration #70. Elapsed time -269seconds.
Iteration #71. Elapsed time 727seconds.
Iteration #72. Elapsed time -274seconds.
Iteration #73. Elapsed time -267seconds.
Iteration #74. Elapsed time -264seconds.
Iteration #75. Elapsed time 722seconds.
Iteration #76. Elapsed time -270seconds.
Iteration #77. Elapsed time -267seconds.
Iteration #78. Elapsed time -264seconds.
Iteration #79. Elapsed time 726seconds.
Iteration #80. Elapsed time -269seconds.
Iteration #81. Elapsed time -264seconds.
Iteration #82. Elapsed time 735seconds.
Iteration #83. Elapsed time -271seconds.
Iteration #84. Elapsed time -265seconds.
Iteration #85. Elapsed time -264seconds.
Iteration #86. Elapsed time 729seconds.
Iteration #87. Elapsed time -262seconds.
Iteration #88. Elapsed time -262seconds.
Iteration #89. Elapsed time -264seconds.
Iteration #90. Elapsed time 723seconds.
Iteration #91. Elapsed time -269seconds.
Iteration #92. Elapsed time -262seconds.
Iteration #93. Elapsed time -260seconds.
Iteration #94. Elapsed time 734seconds.
Iteration #95. Elapsed time -262seconds.
Iteration #96. Elapsed time -266seconds.
Iteration #97. Elapsed time 732seconds.
Iteration #98. Elapsed time -267seconds.
Iteration #99. Elapsed time -263seconds.
Iteration #100. Elapsed time -262seconds.
Iteration #101. Elapsed time 694seconds.
Iteration #102. Elapsed time -260seconds.
Iteration #103. Elapsed time -260seconds.
Iteration #104. Elapsed time -255seconds.
Iteration #105. Elapsed time 732seconds.
Iteration #106. Elapsed time -258seconds.
Iteration #107. Elapsed time -258seconds.
Iteration #108. Elapsed time -261seconds.
Iteration #109. Elapsed time 740seconds.
Iteration #110. Elapsed time -258seconds.
Iteration #111. Elapsed time -256seconds.
Iteration #112. Elapsed time -257seconds.
Iteration #113. Elapsed time 737seconds.
Iteration #114. Elapsed time -257seconds.
Iteration #115. Elapsed time -255seconds.
Iteration #116. Elapsed time 742seconds.
Iteration #117. Elapsed time -255seconds.
Iteration #118. Elapsed time -258seconds.
Iteration #119. Elapsed time -256seconds.
Iteration #120. Elapsed time 743seconds.
Iteration #121. Elapsed time -276seconds.
Iteration #122. Elapsed time -252seconds.
Iteration #123. Elapsed time -253seconds.
Iteration #124. Elapsed time 745seconds.
Iteration #125. Elapsed time -253seconds.
Iteration #126. Elapsed time -253seconds.
Iteration #127. Elapsed time -251seconds.
Iteration #128. Elapsed time 745seconds.
Iteration #129. Elapsed time -258seconds.
Iteration #130. Elapsed time -254seconds.
Iteration #131. Elapsed time -255seconds.
Iteration #132. Elapsed time 747seconds.
Iteration #133. Elapsed time -254seconds.
Iteration #134. Elapsed time -248seconds.
Iteration #135. Elapsed time -250seconds.
Iteration #136. Elapsed time 747seconds.
Iteration #137. Elapsed time -260seconds.
Iteration #138. Elapsed time -250seconds.
Iteration #139. Elapsed time -254seconds.
Iteration #140. Elapsed time 745seconds.
Iteration #141. Elapsed time -252seconds.
Iteration #142. Elapsed time -245seconds.
Iteration #143. Elapsed time -251seconds.
Iteration #144. Elapsed time 747seconds.
Iteration #145. Elapsed time -246seconds.
Iteration #146. Elapsed time -248seconds.
Iteration #147. Elapsed time -248seconds.
Iteration #148. Elapsed time 753seconds.
Iteration #149. Elapsed time -248seconds.
Iteration #150. Elapsed time -246seconds.
Iteration #151. Elapsed time -250seconds.
Iteration #152. Elapsed time 750seconds.
Iteration #153. Elapsed time -250seconds.
Iteration #154. Elapsed time -244seconds.
Iteration #155. Elapsed time -249seconds.
