Report #3 for 10000 inserts.
Iteration #0. Elapsed time 378 milliseconds.
Iteration #1. Elapsed time 223 milliseconds.
Iteration #2. Elapsed time 312 milliseconds.
Iteration #3. Elapsed time 326 milliseconds.
Iteration #4. Elapsed time 230 milliseconds.
Iteration #5. Elapsed time 186 milliseconds.
Iteration #6. Elapsed time 170 milliseconds.
Iteration #7. Elapsed time 180 milliseconds.
Iteration #8. Elapsed time 170 milliseconds.
Iteration #9. Elapsed time 172 milliseconds.
Iteration #10. Elapsed time 164 milliseconds.
Iteration #11. Elapsed time 195 milliseconds.
Iteration #12. Elapsed time 177 milliseconds.
Iteration #13. Elapsed time 198 milliseconds.
Iteration #14. Elapsed time 166 milliseconds.
Iteration #15. Elapsed time 173 milliseconds.
Iteration #16. Elapsed time 160 milliseconds.
Iteration #17. Elapsed time 193 milliseconds.
Iteration #18. Elapsed time 207 milliseconds.
Iteration #19. Elapsed time 170 milliseconds.
Iteration #20. Elapsed time 156 milliseconds.
Iteration #21. Elapsed time 190 milliseconds.
Iteration #22. Elapsed time 203 milliseconds.
Iteration #23. Elapsed time 190 milliseconds.
Iteration #24. Elapsed time 176 milliseconds.
Iteration #25. Elapsed time 183 milliseconds.
Iteration #26. Elapsed time 178 milliseconds.
Iteration #27. Elapsed time 180 milliseconds.
Iteration #28. Elapsed time 194 milliseconds.
Iteration #29. Elapsed time 162 milliseconds.
Iteration #30. Elapsed time 174 milliseconds.
Iteration #31. Elapsed time 194 milliseconds.
Iteration #32. Elapsed time 176 milliseconds.
Iteration #33. Elapsed time 174 milliseconds.
Iteration #34. Elapsed time 162 milliseconds.
Iteration #35. Elapsed time 164 milliseconds.
Iteration #36. Elapsed time 180 milliseconds.
Iteration #37. Elapsed time 167 milliseconds.
Iteration #38. Elapsed time 164 milliseconds.
Iteration #39. Elapsed time 148 milliseconds.
Iteration #40. Elapsed time 156 milliseconds.
Iteration #41. Elapsed time 175 milliseconds.
Iteration #42. Elapsed time 187 milliseconds.
Iteration #43. Elapsed time 158 milliseconds.
Iteration #44. Elapsed time 166 milliseconds.
Iteration #45. Elapsed time 214 milliseconds.
Iteration #46. Elapsed time 157 milliseconds.
Iteration #47. Elapsed time 158 milliseconds.
Iteration #48. Elapsed time 173 milliseconds.
Iteration #49. Elapsed time 159 milliseconds.
Iteration #50. Elapsed time 176 milliseconds.
Iteration #51. Elapsed time 164 milliseconds.
Iteration #52. Elapsed time 164 milliseconds.
Iteration #53. Elapsed time 149 milliseconds.
Iteration #54. Elapsed time 174 milliseconds.
Iteration #55. Elapsed time 150 milliseconds.
Iteration #56. Elapsed time 160 milliseconds.
Iteration #57. Elapsed time 173 milliseconds.
Iteration #58. Elapsed time 157 milliseconds.
Iteration #59. Elapsed time 169 milliseconds.
Iteration #60. Elapsed time 166 milliseconds.
Iteration #61. Elapsed time 155 milliseconds.
Iteration #62. Elapsed time 171 milliseconds.
Iteration #63. Elapsed time 165 milliseconds.
Iteration #64. Elapsed time 160 milliseconds.
Iteration #65. Elapsed time 153 milliseconds.
Iteration #66. Elapsed time 155 milliseconds.
Iteration #67. Elapsed time 154 milliseconds.
Iteration #68. Elapsed time 148 milliseconds.
